EmployeeID,JobInvolvement,PerformanceRating
1,3,3
2,2,4
3,2,3
4,3,3
5,3,3
6,3,3
7,4,4
8,3,4
9,2,4
10,3,3
11,4,3
12,2,3
13,3,3
14,3,3
15,2,3
16,4,3
17,4,3
18,4,3
19,2,3
20,3,3
21,4,3
22,2,4
23,3,3
24,3,3
25,3,3
26,3,3
27,1,4
28,3,3
29,2,3
30,3,3
31,3,3
32,3,3
33,2,3
34,3,3
35,3,3
36,4,3
37,2,3
38,3,3
39,2,3
40,4,3
41,3,3
42,3,3
43,1,3
44,3,3
45,3,4
46,3,3
47,3,4
48,3,4
49,3,4
50,4,3
51,2,3
52,3,3
53,3,4
54,2,3
55,2,3
56,3,3
57,3,4
58,3,3
59,3,4
60,2,3
61,3,4
62,3,3
63,2,3
64,3,3
65,3,3
66,3,3
67,2,3
68,3,3
69,3,3
70,2,3
71,2,3
72,3,4
73,3,3
74,3,3
75,4,3
76,3,4
77,2,3
78,3,3
79,3,3
80,3,4
81,2,3
82,2,3
83,3,3
84,1,3
85,3,3
86,1,3
87,3,3
88,3,4
89,2,3
90,2,3
91,2,4
92,3,4
93,2,3
94,2,3
95,3,3
96,3,3
97,3,4
98,3,3
99,3,3
100,3,3
101,3,4
102,3,3
103,2,3
104,3,3
105,2,3
106,2,4
107,3,3
108,2,3
109,2,3
110,3,3
111,2,4
112,1,4
113,4,3
114,3,3
115,2,3
116,3,3
117,2,3
118,3,3
119,3,4
120,3,3
121,1,4
122,3,3
123,3,3
124,3,3
125,1,3
126,2,3
127,3,3
128,3,3
129,3,3
130,3,3
131,4,3
132,3,3
133,1,3
134,3,3
135,3,4
136,3,4
137,1,3
138,2,3
139,2,3
140,3,3
141,3,4
142,3,3
143,3,4
144,3,3
145,1,3
146,3,3
147,2,3
148,2,3
149,3,4
150,3,3
151,3,3
152,3,3
153,3,4
154,3,3
155,3,3
156,3,3
157,2,3
158,2,4
159,2,3
160,3,3
161,3,4
162,3,3
163,3,3
164,4,3
165,2,3
166,3,3
167,3,3
168,3,3
169,2,4
170,3,4
171,3,3
172,1,4
173,3,3
174,3,3
175,3,3
176,3,3
177,3,3
178,2,4
179,3,4
180,3,3
181,3,4
182,3,3
183,3,4
184,2,3
185,4,3
186,3,3
187,3,3
188,4,3
189,2,3
190,3,3
191,2,3
192,3,3
193,2,3
194,4,3
195,2,4
196,4,3
197,3,3
198,3,3
199,3,3
200,3,3
201,2,3
202,3,3
203,3,3
204,3,3
205,3,3
206,3,4
207,4,3
208,3,3
209,2,3
210,3,3
211,1,3
212,2,4
213,3,3
214,2,3
215,3,3
216,3,3
217,2,3
218,3,3
219,2,3
220,3,3
221,3,3
222,2,4
223,3,3
224,3,3
225,1,3
226,2,3
227,3,3
228,3,3
229,3,3
230,2,3
231,2,3
232,3,3
233,3,3
234,3,3
235,3,3
236,3,4
237,3,4
238,2,3
239,3,3
240,2,3
241,3,3
242,3,3
243,3,3
244,3,3
245,4,3
246,3,3
247,2,3
248,2,3
249,2,3
250,4,3
251,3,3
252,3,4
253,3,3
254,4,3
255,3,3
256,3,3
257,2,3
258,3,3
259,3,3
260,2,3
261,4,4
262,2,3
263,2,3
264,1,3
265,3,3
266,2,3
267,2,4
268,4,3
